爱好,小众程度,入坑时间,总花销,领域内程度等级,领域内程度描述,每日时长,金钱投入门槛,时间投入门槛,社会认知程度描述,社会认知程度等级
漂移板,全球最轻、最小的滑板，体积小、材质轻，能随身携带到任何地方。,1~3年,1100左右,萌新入门阶段，还在摸索学习,1,<1小时,投入的时间、自身的天赋、相关技巧的练习是重点，投入300～900即可入门,3-5年,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
书法,,3~5年,500,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,50   10000,一天      一生,,
收集可乐罐,,5~10年,…已经不太好算了…,这个应该没什么圈子,,<1小时,"喝完可乐洗干净摆起来就行，也没什么精通不精通的
（买肥宅快乐水的钱那能算钱嘛）","其实也就是多洗一个罐子的事儿，不论在什么时候都并不需要投入太多的时间
但是变成究极发烧友之后就会特地去找没有见过的可乐罐，可能会有一些多余的时间消耗",5 - 广为人知，老少咸宜的全民爱好,5
马克西姆 和 肖邦 ,古典乐吧，应该不算小众,3~5年,1万以上吧（不包括买钢琴）,萌新入门阶段，还在摸索学习,1,1~3小时,10万以上吧,再玩5年吧,,
水彩,不太小众哈哈哈,1~3年,七八百,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,这个看个人，少则七八百，多则上万,与练习频率相关，最少可能三四个月，最多可能几年十几年,3 - 不高不低,3
极限飞盘,2028年正式成为奥运会比赛项目,<1年,500以下,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,500以下,半年,3 - 不高不低,3
丹道,中国传统道家注重内炼强身健体的法门,1~3年,3000,萌新入门阶段，还在摸索学习,1,1~3小时,0，上亿,一个月，60年,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
看电影,,>10年,10000（视听设备及电影院消费）,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,0-∞,0-∞,无须作答,
绘画,,1~3年,20000,萌新入门阶段，还在摸索学习,1,1~3小时,500/50000,一月/四年,5 - 广为人知，老少咸宜的全民爱好,5
汉服,在尊重历史的前提下，以欣赏的角度入坑汉服，目前比较喜欢明制和唐制汉服,5~10年,小w?  但是我一般都是只留下自己最喜欢的汉服 把不喜欢的挂咸鱼出掉回点血,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,每个形制、不同价位都是有涉猎的话，准备几个w吧,如果是从穿汉服到妆造、发型，那至少3小时,4,4
橡皮章,在橡皮砖上刻章,3~5年,1000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门100以内，精通在200-500,入门两个下午，精通看每个人的手感需要一个月或更多,2,2
摄影,,1~3年,12000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,8000/∞,几个月/几年,,
收集谷子,指收集动漫角色作品的吧唧（徽章），手办，挂件，明信片等,1~3年,两万左右,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门：一千 精通：无上限（看个人喜好,入门：两个月 精通：半年,无须作答,
日本麻将,日本麻将，日语称作「麻雀（マージャン）」，是麻将规则的一个重要分支，其记翻方法的称谓以及和牌方式与中国的麻将有所不同，是日本常见的麻将玩法，通常以点计算。,<1年,零氪金玩家,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门到精通可以是零，也可以是无穷大,入门：3-7天   精通：1-12个月,,
滑雪,,1~3年,大约1.2～1.4万吧,萌新入门阶段，还在摸索学习,1,<1小时,1000到10万,入门一两天。精通：经常滑，请私教，三个雪季。,3 - 不高不低,3
模型拼装,,<1年,1000,爱好者程度，能带带萌新但依然仰望大佬,2,>6小时,30～300,1个小时到1周,3 - 不高不低,3
滑雪,算个小半个极限运动？但也不是很极限、,3~5年,20000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门，不多，门票就够。精通，设备吃钱，几万吧，算上机酒，更贵。,入门：一周，精通，至少两三个雪季,无须作答,
网文,,5~10年,500元,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,10,1年,4,4
手帐/和纸胶带,日本传过来的便利贴性质的随手记日记本，用胶带进行装饰或拼贴成插图,5~10年,7000左右，有两年高中没记账，然后一些手账本等支出混在别的品类里了,资深老玩家，但没有名气,,<1小时,入门100就够了，玩到精通也不需要多少钱，只要按需要和喜好购买胶带就可以了，因为每个人都有属于自己的不同的风格,入门1小时吧，毕竟说到底就是写日记嘛，玩到精通可能得需要一两年，如果有大佬带的话可能也不需要太多时间，一下子就能够了解圈内的一些事情，主要是了解品牌、购买途径、大概价格和具体胶带的材质工艺等等，现在网络上很多挺误人的分装卖货视频主会虚假报价，只希望大家的钱不要花的不值，但一开始没进入圈子只是一个人玩的时候容易掉坑里花冤枉钱。,4,4
麻将,它很大众，但是也很小众。很多人都会，但也不咋会,1~3年,0（反正找不到人面麻，网麻也不氪金）,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门0（下个软件又不要钱）精通就不好说了，你可以自己研究，也可以花点小钱提升下条件,要玩明白的花大概几个月,5 - 广为人知，老少咸宜的全民爱好,5
摄影摄像,,3~5年,3w,资深玩家，在圈里小有名气，各种玩法都试过,3,1~3小时,入门门槛极低 一千块也能入门 精通主要看个人经历吧 如果常见的各种拍摄跟视频录制都能独立完成 设备最低需要一两万的样子 没有上限,入门一周 精通说不准 用年来算也正常,3 - 不高不低,3
乙女游戏,,3~5年,1000,爱好者程度，能带带萌新但依然仰望大佬,2,>6小时,主要买周边多,每一天都要抽空去完成每个游戏中的日常任务大概要花2小时,,
薅羊毛,手机看广告赚零花钱0.3元提现就卸载,1~3年,3000,资深玩家，在圈里小有名气，各种玩法都试过,3,3~6小时,5000,一年,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
网络游戏,,1~3年,0,萌新入门阶段，还在摸索学习,1,1~3小时,10000,3年,无须作答,
摄影,,1~3年,7000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,10w,3年,5 - 广为人知，老少咸宜的全民爱好,5
做手帐,,5~10年,5000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门：1000，精通:2500-3000,入门:三个月，精通:两年,3 - 不高不低,3
摄影,不小众吧,<1年,5000,萌新入门阶段，还在摸索学习,1,<1小时,"入门，不要钱，用手机
精通，无限的钱（不仅是器材钱）","入门，努努力半个月
精通，四年",5 - 广为人知，老少咸宜的全民爱好,5
活着,,>10年,50+w,萌新入门阶段，还在摸索学习,1,>6小时,无上限,最低零，最高无上限,无须作答,
桥牌,一种牌类游戏，但是在过程中需要大量的头脑计算以及和队友的沟通加上读取对手的信息,<1年,12,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门：2-50，精通：100-1000,入门：一个月，精通：一年,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
追星,,5~10年,8000～15000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,0-♾️,需要看个人对追星的入迷程度，个人无法给出具体时间,3 - 不高不低,3
绿植栽种,各种植物,1~3年,3000以内,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,200以内,一个月以上,5 - 广为人知，老少咸宜的全民爱好,5
冥想,,5~10年,88（去了一次咖啡厅）,萌新入门阶段，还在摸索学习,1,<1小时,0,一天,,
弹吉他,我想分享的是吉他音乐里的指弹，指弹在原声吉他（即大众理解的民谣吉他）圈里本身已经很小众，然后我喜欢的是在国内更小众的美式指弹。美式指弹相较于日式指弹或者其他类型的指弹在演奏手法和音乐风格上都更加传统（个人理解）。演奏手法上更考验基本功，没有日式指弹里的表现形式更吸引眼球技巧，音乐风格上多以布鲁斯为主，这两点是我为什么说美式指弹更传统（个人理解）。,1~3年,2万元左右,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门可能只需要1000元左右。精通3万元（我猜的）。乐器精通不太取决于设备，更多依靠自身的演奏水平和音乐理解。,指弹入门1～2年，精通7年？（其实我想说乐器很难说达到精通的水平，这是一辈子进步的爱好）,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
养刺猬,,3~5年,4000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,"入门需要300左右购买刺猬一只，和500左右购置配套设施。
精通的话我认为主要不在金钱，而在观察和学习实践上。",入门需要两周，精通在愿意学习探索的情况下半年即可。,2,2
音响 耳机 HIFI,,3~5年,五万,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,十万左右,一年,3 - 不高不低,3
单机与主机游戏,,5~10年,1万~2万之间（包括主机和游戏的购买）,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,入门：300元~2000元 精通：2000元以上,入门：20小时 精通：1000小时以上,3 - 不高不低,3
台版实体轻小说爱好者,就是通过各种渠道购买台版实体轻小说用于观看、收藏和传教,3~5年,4000+,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,10000+,入门：1～2年 精通：8年以上,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
下围棋,不是五子棋，是算目的那种,5~10年,1000RMB,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,看天赋,5年以上,5 - 广为人知，老少咸宜的全民爱好,5
跳舞,hiphop,5~10年,3w+,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,按照上课的时间来算 一般一节课100左右,入门可能一个月精通可能要一辈子,3 - 不高不低,3
参加各类机器人竞赛,主要内容是学科竞赛，基本面向在校学生,5~10年,100000,资深玩家，在圈里小有名气，各种玩法都试过,3,<1小时,10000,入门6个月，精通2年以上,4,4
桌游,,3~5年,23420,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,"入门:免费（身边有桌游的朋友就行
精通：几千？（大概）","入门:几分钟
精通：几个月到半年",3 - 不高不低,3
画画,,3~5年,100多一点,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,0,一个星期 几年,,
摄影,,<1年,3w左右,萌新入门阶段，还在摸索学习,1,3~6小时,入门白嫖好兄弟设备玩（doge，精通据我所知没有上限...,个人入门3个月，精通看个人悟性吧...(多练警告)至少我还没有到精通，,5 - 广为人知，老少咸宜的全民爱好,5
Launchpad音乐演奏,"拉导以前玩过的_(:з」∠)_
他有两种玩法，一种现在流行的，比较类似于音游，每个按键都有裁剪好的音乐的片段，你需要在节奏型里敲对应的按键以演奏乐曲，同时会有绚丽的灯光配合你的演奏
还有一种是他诞生之初所设计它的真正，也就是电子音乐即兴演奏与即兴创作",5~10年,5000,资深玩家，在圈里小有名气，各种玩法都试过,3,3~6小时,你只需要好的电脑，设备与软件即可，所以入门大概需要1800~3000（不含电脑与软件）；精通的话如果需要多个设备是无上限的,入门大概2小时~2天；精通无上限，据我了解过来都是1~2年为基准,2,2
收集本子,买喜欢的本子,1~3年,1000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门：几块钱吧 精通：感觉无上限,未知,,
英语应试圆体字,作为中国学生难免经历英语考试，这个英语字写的好不好看往往困扰着学生多年，目前高中主流的字体为衡水体，很多人觉得字体好扔但是偏呆板应试，有些人想练习帅气潇洒的圆体字但是又可能会影响阅卷，因此我在高中时就结合两者完成我的应试圆体字书法,3~5年,400,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,钱不重要,入门:2个月 精通:2年,3 - 不高不低,3
竹笛,,1~3年,6000（三支笛子）,萌新入门阶段，还在摸索学习,1,1~3小时,入门：300，精通：无上限,入门：一年，精通：n年,4,4
胶片星空,反转片拍星空（曝光30mins+）,<1年,40000,萌新入门阶段，还在摸索学习,1,<1小时,5000&无上限,24小时&无上限,3 - 不高不低,3
做美甲,做美甲,3~5年,97521.21,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门200 精通10000,入门1个月 精通,,
滑板（双翘、长板           freestyle和刷街）,不算小众,1~3年,5000左右,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,1000,半年左右,,
"疯狂买游戏和尝鲜
",,>10年,5w以内,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,0,非既定概念 有又菜又爱玩的 也有比较聪明上来就玩得相对好的,,
花式蝴蝶刀和各种手极,各种各样的手部极限运动,1~3年,1000左右,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门100以内      精通5000以上,入门一个月左右        精通1.2年,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
黑白漫画,,5~10年,2000左右,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,如果合理运用互联网甚至可以一分钱不花,我从小学开始看到今年大学毕业我觉得我还是在摸索,,
网络迷踪,"通过一张照片，推理出拍摄者的位置。
PS：有时不只是拍摄位置，也会推出拍摄时间或拍摄角度，如果是在飞机或火车上拍摄还会推出航班或车次",1~3年,0,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门0元 精通0~200元,入门1个月 精通2年,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
天文摄影,在很黑的地方拍星星，星系，星云，可以远程控制,1~3年,50万,资深玩家，在圈里小有名气，各种玩法都试过,3,<1小时,入门2万，精通10万？,入门100小时，精通1000小时甚至更久,3 - 不高不低,3
收集文具,就是简单的字面意思，会收集比较多的文具，主要是笔类（黑笔，彩笔，荧光笔等），本子类（活页本，线圈本，线订本等），也会有收集各类尺子，橡皮擦，刻刀等。不过和专门做手帐的爱好者们会有点区别，我收集文具只是因为文具本身好看，可能有一些买来就是个摆设。,3~5年,500左右吧（从19年上大学开始算）,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,入门：5元（指买一件自己很喜欢的文具）；精通：50元（指研究完后买一套自己很喜欢的文具）,入门：随时；精通：2-3个月,3 - 不高不低,3
吉他指弹,就是指弹和弹唱的区别就是弹唱的主体是人，吉他是伴奏，但指弹是以吉他为主奏，不需要唱，吉他完整演奏一首曲子,<1年,6000,对自己的定位可能还没有能带人的级别，毕竟那种得老师才行，但比萌新高一些了哈哈,1,1~3小时,入门1000；精通就没上限了其实,入门3个月，精通3年（每天都得练的情况下是这样，但其实大家对精通的定义不同，这只是我的理解）,3 - 不高不低,3
文学,,>10年,2000+,萌新入门阶段，还在摸索学习,1,1~3小时,入门：0      精通：0,入门：0h    精通：2w+ h,,
游戏,,>10年,0,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,0,只要有爱就够了,5 - 广为人知，老少咸宜的全民爱好,5
胶片摄影,,>10年,9999,佛系,,<1小时,99999,3月,3 - 不高不低,3
买谷,谷是goods的谐音，主要指一些二次元周边,1~3年,将近5w,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,不花钱也能入门，精通可能至少上千吧,2小时应该就能入门，精通可能快的话要几天，慢的话几个月,3 - 不高不低,3
手作弹弓,木艺弹弓。不是相关专业，也不是木匠家族，但就是喜欢做木制品，弹弓尤甚。从收集木头、制图建模到切割打磨，每个步骤都是自己完成。,5~10年,5000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,500-无上限，持续玩下去木头的消耗量是极大的,一个月～数十年，圈子里大部分人都是玩了十几年的“老人”。,3 - 不高不低,3
拳击boxing,,1~3年,10000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,4000/40000,3个月/5年,3 - 不高不低,3
排球,,<1年,一两百,萌新入门阶段，还在摸索学习,1,<1小时,入门或许是0，精通就不知道了,入门一两小时，精通或许要好几年,4,4
鼠标垫,根据不同环境不同个人操作习惯配套各种适合发挥的（,3~5年,不计其数,爱好者程度，能带带萌新但依然仰望大佬,2,>6小时,入门：100 精通：无上限,入门：十五天左右 精通：一辈子也不行吧（大概,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
"玩nba2kol2
",篮球游戏比较小众吧,3~5年,"500
",爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门0 精通50w,入门1个月 精通1年,2,2
拼乐高,,1~3年,小于1万,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门几百块 精通几千块,入门几天 精通几个月,2,2
收集某个爱豆的小卡,作为一个入坑韩娱追星不到一年的新粉丝  因为去年一些原因喜欢上一个小爱豆 其实刚开始并没有打算入小卡坑  后来因为自己也喜欢上了就开始慢慢收集  追星很多人都知道 卡坑这个东西溢价是非常严重的 热门稀有小卡片 一张过万也有 冷门小卡付邮送也有  很多时候价格都保持在几十到几百之间  但这确实对于没追星的人来说 是很不能理解 谁会花那么多钱去收集小卡 而我应该算是理智的 我只收自己能承受范围内的小卡 虽然我也喜欢稀有高价小卡  但我始终也明白还是肯定要先保障自己的生活水平 不会很盲目的去收卡,<1年,3000-4000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门的话 100～1000  精通：10000以上,1个月,3 - 不高不低,3
摄像,,5~10年,50000+,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,0，20000+,一周，无限,,
自缚,,3~5年,约1000,萌新入门阶段，还在摸索学习,1,<1小时,就买绳的话不花钱,入门简单，精通不难，投入的时间很少。但毕竟这种东西属于即时性的满足，所以并不计较投入的时间。,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
机车  ,很多人觉得危险或是不理解吧，但是这玩意真的能让人放松身心，沉迷其中,1~3年,5万？,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门的话一万左右就可以吧，精通看什么程度了，多的十几甚至几十万都可以吧,入门一年够了吧，想精通的话多出去跑跑，或是修修车，弄点小改装，两三年吧,3 - 不高不低,3
爬山,,3~5年,100,萌新入门阶段，还在摸索学习,1,<1小时,入门0元，精通5000,入门0小时，精通100小时,,
书法,书法就是书写✍️,3~5年,1w,萌新入门阶段，还在摸索学习,1,1~3小时,不确定，主要在于人自己，5w,5年以上应该可以有所体会,,
lo裙,,1~3年,3万元左右,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,服饰风格品类的爱好，金钱衡量没有具体标准,3-5年,2,2
打牌（游戏王）,现在应该不算小众了吧（？）,<1年,500+,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,"2000
2000xn+",两年以上,2,2
打太极拳,2010年的时候很巧合的机会，遇到了一位师傅，得以得以拜师学艺,5~10年,500,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,0～无上限？（一般是找师傅学习练习，买衣服鞋子太极扇太极剑，或者报名参加比赛）,3月/3年,2,2
看动漫,如今二次元都成贬义词了。。。但这真心是我非常热爱的东西,1~3年,300+,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,只用投入时间,如果每天都看五六集的话，四五年吧，或者更多，毕竟要眼熟很多很多的人物，甚至还要去了解一些游戏等acg产物,2,2
sm,就是大家都能明白的那个sm,1~3年,1000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,可多可少,入门很容易，精通啥的我也不好说,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
吃谷,就是 买喜欢的角色的周边  包括但不限于立牌 挂件 这种 这些周边统称为吃谷,1~3年,大概 3-4w,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门的话 买了就算是入门吧 精通...收集喜欢的角色出过的所有周边？大概几千到几万不等 甚至十几万也是有可能的,有钱就行 只要钱够多 头够铁 总是有人把几年前出的周边卖给你的,3 - 不高不低,3
汉语音韵学,通俗来说就是研究古汉语，不过主要集中在语音方面。目前个人在学的还是大体反映南北朝语音的早期中古汉语。,3~5年,100左右（就买了两本书）,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门：0元，精通：1000元（都是买书，如果有电子书也可以是0元）,入门：1周，精通：5~20年（其实没有上限，因为还要学很多方言、亲属语言和受汉语影响比较大的语言）,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
收集各种电子资源,,3~5年,100以内,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,0,10小时,3 - 不高不低,3
看网络小说,,5~10年,3000+,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,入门：1000（10本网文）精通：3000（30本网文），以看正版为前提。,入门：60小时 精通：500小时,4,4
看球赛,,>10年,3k左右,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,0,1-3年,4,4
球星卡,各种篮球足球等体育项目运动员的折射，签字，物料卡片,1~3年,10000,萌新入门阶段，还在摸索学习,1,<1小时,入门:10000   精通:1000000,入门:一年   精通:五年,2,2
玩电子游戏,沉浸在一个被创造出来的虚拟世界中，扮演一个旁观者,5~10年,2w左右,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门：1000 精通：1w,入门：500h  精通：5000h,4,4
追星,因为一个综艺节目喜欢唐九洲，因为身上的乐观和积极向上，我垂直入坑，去挖掘更多有关信息，从此难以自拔。现在在唐九洲粉丝后援会任职，在反黑组应援组和超管组均有职务。本职是大学生，在国内某985大二。现在他没有什么曝光度了，我也习惯了追星的生活，还是慢慢喜欢他。,1~3年,3-5k,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,5k,一两年吧,3 - 不高不低,3
超轻粘土,,<1年,1500,萌新入门阶段，还在摸索学习,1,<1小时,入门600到精通10000,动手能力好的，并且每天坚持玩的话，我估计6个月。,,
骑行,如题就是骑车出去玩,5~10年,5W,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,估计几万不少了，但是几千也可以,3年,3 - 不高不低,3
汉服,,>10年,5万,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门一套汉服现在门槛很低，100元就够了？精通的话，衣服哪有够的啊。。。配合首饰，配饰，几万块钱起步。,"1h,1个月。",,
二手汽车,玩车嘛，不稀奇,<1年,1w4,萌新入门阶段，还在摸索学习,1,<1小时,"买辆二手车不贵，一万
精通的话最少也要小几万（指把垃圾车整备一新）","两个月入门
我也不知道如何算作精通",4,4
lolita,以前小众，目前应该不是,3~5年,10000左右,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,3000,两年,4,4
万智牌,老牌美式集换式卡牌桌游，不算特别小众，但是除了朋友介绍入坑很少有完全出于好奇加入进来的新手。在美国日本知名度很高，但是在中国，不是圈子里的，最多只了解规则而不了解内容。普通卡牌艺术价值就很高，也有很具有收藏的收藏类卡片在卖。规则相对复杂，但是相对于很多重策桌游其实要简单很多。,5~10年,5w（纯支出）,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门大概50人民币买一个入门包就可以了解规则。但是想深入游玩一个赛制，组一套牌大概需要500人民币。（一般组了一套牌才算是真正入坑了万智牌）有些更烧钱的赛制一套牌就价值2000-3000。还有一些特别赛制，就几十万人民币也不是不可能。但想快乐打牌一般都会组复数套牌，普通牌手身上多半带着5000左右的卡牌，还不包括一些参加比赛或者撕包出来的用不上但是值钱的单卡。而且会有每周和每个新系列的比赛，比赛用牌每一场还要额外收费90-150。,了解规则半个小时即可。玩一个月就可以完全了解万智牌的打法。但是想精通可能需要3-5年对各个系列卡牌的理解加上自己对于各类比赛的研究。,2,2
模玩,拼模型，增加细节,1~3年,1 2万,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门7 8百 精通几万,1 2年,3 - 不高不低,3
追星,那想必是不用多说啦,5~10年,是学生啦，花不了太多的钱，这么长时间了才1000起步吧,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门我觉得金钱不是必要的其实，但玩到精髓少说也得一两万？,从你喜欢那个人开始就要投入时间啦，玩到精髓可能两三年？（因为还有限定团体什么的是只有两年的时间）,4,4
装机 ,装电脑,3~5年,40k+,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,5k，15k,1-3月,3 - 不高不低,3
足球,,5~10年,1509以内,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,不需要太多钱,几个月,,
机械表,,1~3年,40000,爱好者程度，能带带萌新但依然仰望大佬,2,>6小时,200000,3年,2,2
羽毛球,,5~10年,2,资深玩家，在圈里小有名气，各种玩法都试过,3,1~3小时,5,3年,,
长板,,<1年,1000,萌新入门阶段，还在摸索学习,1,<1小时,入门：500-1000 精通：20000,入门：两个月 精通：两年,3 - 不高不低,3
玩具模型,变形金刚,3~5年,1000+,萌新入门阶段，还在摸索学习,1,<1小时,∞,10年,5 - 广为人知，老少咸宜的全民爱好,5
生活空间收纳,对自己的房间，工位，实验室等等进行收纳归整，使自己得到满足感,5~10年,5000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,200,一周,3 - 不高不低,3
绘画,,3~5年,1000,萌新入门阶段，还在摸索学习,1,<1小时,5000,5年,,
火漆,是原来用来封信封的 现在主要用来装饰,<1年,500,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,100就够,几天？,3 - 不高不低,3
lovelive,老牌音游，厨力游戏,3~5年,800+,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,无，但想加快速度减少肝的程度氪的越多越好,游戏简单好入手，精通难，音游需要大量时间练习，游戏内养成难度极高，低氪（100元以下）大概需要花费1年以上时间,无须作答,
足球（看+踢）,世界第一运动:),5~10年,500左右,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,0,踢球的话得看天赋😂 看球的话多了解一下规则，慢慢听解说说也能看下去。,,
客制化键盘,就是自己定制一把键盘 ，从套件，轴，到键帽,1~3年,15000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,1500-20000,一年,2,2
阅读网络小说,,>10年,少于200,就自己看，一般不和他人交流,,3~6小时,"看情况，如果和我一样基本上都是看盗版的话基本上不用花钱。
如果只订阅，以起点为例，入门订阅二十五部完本，大概7500；精通订阅50部完本，大概15000。
如果不只订阅，还投月票和打赏，一个盟主好像是10000来着，一本书一个盟主的话，上不封顶。",入门二十五部完本，以每部200万字计算，一共5000万字。以每小时15万字的阅读速度计算，一共需要333.3个小时；精通五十部完本，一共一亿字，阅读速度不变，一共需要666.7个小时。,3 - 不高不低,3
手帐,应该不算小众，贴贴胶带画画画,3~5年,10³+,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,可能10块可能10万,可能一会可能一辈子,3 - 不高不低,3
客制化键盘,专业定制化的键盘，其核心部件也就是触发零件多为机械轴。客制化的方向多为改造键盘外观（键帽，灯光，外壳材质样貌）；改造提升键盘手感（优化键盘结构，润滑轴体内部达到更优质顺滑的手感，调节键盘大键位等）；增加键盘功能（轴体热插拔，键盘多模式连接，甚至模块化部件等）,1~3年,5000元左右,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,10000以上,六个月以上,无须作答,
写作,,3~5年,千把块左右,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,因人而异，因生活而定。写作是生活的写作，生活是写作者的生活。,一个小时？或者是大半辈子？这可能也是因人而异的，就是若是你有天赋可能写作就简简单单，分分秒秒的事，但我觉得大部分人应该是没有天赋的啦（doge）。那对写作平凡的我们该如何又快又好的玩到精通呢？对我个人的经历来说，我们只需要做到知行合一，认认真真的投入一个月左右便可以了。but，带家都这么忙，应该是没什么时间的。so，我们就先做知的那部分，然后有空在做行的那部分也是很有效的，就时间可能会稍久一点，大概两三个月左右。（我说的这些时间均是包含了大家吃喝拉撒，生活的一部分时间昂）,3 - 不高不低,3
HiFi,,1~3年,20000+,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门2000，精通10000+,入门1周，精通3月+,,
魔方,,5~10年,1000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,买个十块以内的就可以入门了,一年以上,,
玩csgo,枪击游戏,<1年,一百块,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,充不充都行，技术重要。,入门几百个小时吧，精通需要几千个小时，如果特别精通要上万,,
手机摄影,,1~3年,5000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,0～10000,3天到1年,5 - 广为人知，老少咸宜的全民爱好,5
游戏王实卡,B站的话大家应该也不陌生游戏王这个IP，最近应该也随着决斗链接（DL）和大师决斗（MD）火了。但我想分享的是关于游戏王实卡方面，不同于DL和MD，他是一款实卡游戏，需要在线下真实的和人进行打牌和交流。,<1年,刚入坑简中实卡2000左右,萌新入门阶段，还在摸索学习,1,1~3小时,入门：1000以内能组好一幅主流；精通：无底洞，收藏玩家可能花费会更多。,1个月左右吧，不仅要线下找人打牌也要学习当前环境主流及应对方法,3 - 不高不低,3
